TRADEG,TDECDEG,MJD_OBS
72.16115800,-50.73591500,58456.23767845
80.91112500,-32.47461000,58459.08615742
91.74795000,-39.57549900,58465.14710248
19.83475400,-16.24297200,58437.21162866
66.52487900,-24.35869400,58455.29995596
51.67920000,-58.85108200,58453.26803909
22.41853300,-29.43097100,58452.19959596
57.92495800,-58.85060900,58455.28128757
31.70341700,-53.77841500,58455.10858256
29.91724600,-50.70147100,58374.34939214
77.10832500,-32.47347100,58458.08708096
20.83612500,-65.46183100,58483.07430212
11.47729600,-19.28599900,58451.07501061
65.91004600,-66.05333100,58488.13557279
319.96815000,-61.89405400,58401.07639839
63.00703300,-24.35838800,58455.29721867
14.74884200,1.00372200,58378.32486588
59.56392100,-65.91827600,58483.18248274
50.28065800,-21.31513800,58437.30552181
28.04495800,-65.93533100,58491.09781864
77.37775400,-58.84924800,58458.30666654
354.91432500,-44.64869300,58430.18993272
32.51220000,-27.40216600,58452.22020818
48.44653300,-16.24444400,58429.31589225
13.58282900,-62.90877600,58450.09808565
28.92525000,1.49377800,58370.27768064
9.94884200,-4.06913900,58449.08693875
41.89858300,-2.04000000,58401.34290289
349.19507900,-1.02527800,58378.25997662
94.06490800,-41.60491500,58460.31760129
28.71004600,-28.38266600,58371.38234670
13.15171700,-2.03975000,58378.33317906
80.66207900,-26.38741600,58459.28852280
32.10450000,-10.15544400,58380.38997021
307.11757500,-45.66261000,58418.02375741
31.02237100,-55.80730400,58455.05075351
62.95957500,-37.54677700,58455.26260455
30.71732900,-1.02572200,58451.18553491
22.96392100,-53.74419300,58371.30437292
16.64550000,-22.32961000,58379.37460657
318.84495000,-0.01152800,58373.19917079
33.91153300,-1.02558300,58401.32230351
50.20712900,-19.28616600,58437.30140480
35.94720000,-29.43066600,58377.36246652
318.12799600,-42.61916500,58431.05126229
28.93120400,-0.53516700,58370.26769745
89.13707900,-56.82141500,58462.16427997
37.85487100,-28.41502700,58439.27281153
25.97967100,-58.85085900,58453.11456355
8.05959200,-52.76377600,58451.03785866
9.55600400,-28.41644400,58451.11916521
26.61637500,-38.52688800,58380.33386036
69.45687100,-51.74869300,58454.32119576
3.11971700,-37.54608200,58376.35164666
300.92862100,-55.80805400,58390.08733360
324.94835800,-43.63397100,58430.11165851
51.71116700,-14.21550000,58429.32413405
55.98607500,-52.76336000,58440.30190306
48.58692100,-65.85060900,58487.06262277
36.40495400,-23.34358300,58380.35775727
70.04524600,-47.69097100,58454.32815645
73.37875400,-30.44605500,58457.29964628
89.27611700,-52.72958200,58431.33621952
41.87158300,-63.92330400,58455.14537995
6.57049600,-0.53536100,58370.21943086
27.80090800,-62.90874800,58453.12143996
18.33695800,-21.31499900,58379.37597554
34.57950000,-24.35813800,58380.35502237
30.02929600,-17.25713800,58454.20355519
45.58795400,-64.93758100,58455.19399205
309.64099600,-60.87994300,58390.00191228
24.50132900,-9.14172200,58452.10065687
35.51329600,-0.01252800,58429.23178456
66.11754200,-54.79247100,58454.31279638
20.21896700,-45.66288800,58452.15538328
24.39991700,-37.51341600,58374.35385556
75.32925000,-23.34344400,58459.31335149
358.77178300,-1.02597200,58375.29374354
6.82612500,-41.60522100,58450.16047414
63.62520000,-44.64847100,58456.08599578
50.08607900,-15.22997200,58429.31863275
26.37595400,-31.46008200,58455.07259939
326.35715800,-57.83608200,58431.06437871
33.67940800,-65.95224800,58491.10064520
40.29754600,-3.05458300,58451.20478141
39.11595000,-37.54627700,58431.24476083
309.39240000,-42.61916500,58377.20739681
15.34254200,-39.57588800,58453.13471125
29.85192100,-19.28655500,58438.24241469
45.70129600,-65.32660900,58480.17637090
43.38487500,-23.34391600,58454.17671888
72.92458300,-40.59091500,58457.32247601
71.83940800,-23.34291600,58458.06598535
58.77982500,-20.29949900,58439.30142860
341.35423300,-44.64808200,58377.21931468
23.41978300,-20.30088800,58375.38318777
334.88102900,-41.60444300,58428.13307680
51.45691700,-39.57530400,58454.27808887
39.76570400,-54.79288700,58455.10567064
30.83400000,-26.38761000,58452.22848473
44.06953300,-65.93502600,58487.11708760
27.95083300,-13.19944400,58437.23091423
324.64657500,-47.69116500,58431.09046036
25.83625400,-27.40197100,58454.11559579
62.11933300,-41.60541500,58456.09688309
343.77178300,-47.69088700,58376.28276157
87.30991700,-20.30041600,58462.15450944
326.39337100,-64.93733100,58431.05868888
77.12941700,-36.53302700,58457.33908441
80.43279200,-18.27061100,58458.24847917
332.31190400,-44.64838800,58429.06182147
78.93625400,-29.43155500,58457.29679620
16.64217100,-65.85047000,58487.07293387
38.04895400,-65.32658100,58481.07953452
30.60775400,-7.11280500,58452.11322748
13.15054600,-0.01108300,58401.26457875
77.09950400,-30.44433200,58458.20637289
66.72841700,-39.57558200,58461.04895969
68.47307900,-21.31594400,58456.20738983
73.48770000,-30.05680500,58491.17330030
72.80217100,-42.61849900,58459.32287767
68.05966700,-27.40061000,58439.28716193
37.72187900,-30.44561000,58452.23407435
87.77250000,-46.64255400,58440.32857159
13.33715800,-48.70580400,58451.05316504
30.64603300,-48.70613700,58455.09153672
56.71962100,-15.22977700,58429.27945882
331.63552500,-48.70558200,58428.13015335
75.11015800,-37.54666600,58461.05189594
52.12395000,-66.88216500,58491.11325777
14.74790800,1.00341700,58401.26871065
53.60025000,-19.28774900,58429.29761141
342.80428300,1.00325000,58374.19641199
35.20537500,-14.21377700,58454.13640930
93.57354200,-43.63316500,58466.18846635
87.81832500,-26.38758300,58461.10068944
