TRADEG,TDECDEG,MJD_OBS
57.20829200,-28.39974900,57801.07753478
11.13799600,1.10447200,57698.16500334
51.32304200,-43.53266500,57728.26047873
51.55040800,-25.35566600,57724.20838157
32.67082500,-18.25588800,57753.12537216
51.82849600,-26.28866600,57717.28458433
150.11345800,2.47519400,57785.18612792
38.10370400,-26.48902700,57655.24493378
317.29157900,-40.48838800,57654.01092647
37.48187900,-47.59036000,57728.22338780
22.46341700,-48.60436000,57662.25445158
83.54854600,-22.22813800,57778.20343973
306.44787100,-40.57255400,57661.01002246
31.82004200,-5.99661100,57686.19573369
44.60840800,-64.83510900,57696.30494997
23.88954200,-30.34480500,57716.21545578
87.17400000,-24.25708300,57778.15879787
63.46900400,-31.35744300,57721.26022624
325.75045400,-41.58783200,57683.02583520
330.13315400,-1.12741700,57634.21859469
343.79407500,-1.01058300,57690.04567655
82.03662100,-27.30047100,57778.15453632
24.32845400,-18.25408300,57727.17191193
14.27409200,-24.34247100,57743.10696966
48.66100400,-36.43119300,57719.26574636
11.13775400,-0.92500000,57684.13217441
23.46300000,-26.28591600,57696.14883977
56.40862500,-17.15838800,57717.23445819
24.02937100,-33.47183200,57722.19700740
1.94012900,-32.57416600,57639.28646309
343.25152500,-49.61911000,57658.11997462
4.36621700,-52.74663700,57719.16227285
47.66742100,-57.73458200,57698.33413238
336.20311700,-41.58794300,57663.09411298
13.26283300,-4.17155500,57632.39026788
80.00674600,-27.38511000,57784.15856170
21.79809200,-30.42997100,57742.14392059
34.92450000,-32.45727700,57663.33794053
318.45182900,-59.76288700,57656.01206728
52.90054600,-18.25436100,57727.26437654
354.80461700,-47.67433200,57667.14873364
327.74585800,-51.64663700,57656.07730262
67.28945800,-28.39908200,57757.19380808
46.56991700,-42.60188800,57722.24831186
65.88232500,-26.28858300,57717.30310018
150.10770000,2.16219400,57803.15135445
314.13782900,-52.66216500,57655.03156458
12.72087100,-36.43022100,57741.12328734
1.53537100,-42.60219300,57726.12496894
66.08445000,-38.54383200,57730.30979669
43.06750400,-7.01175000,57688.23248076
66.09695800,-21.29886000,57781.14347972
53.87517100,-29.33008200,57719.30168170
25.04237900,-38.45983200,57699.28286633
72.73408300,-34.40066600,57721.28203154
42.79024600,-31.35877700,57664.37212641
21.75354200,-44.54655400,57662.28744885
20.31845800,-64.83555400,57698.25055273
356.57911700,-1.00822200,57666.15492408
21.06290800,-20.28294400,57666.27760084
87.25087500,-42.60163800,57803.16968901
356.03702900,-51.73283200,57664.13720244
2.06200400,-3.15633300,57653.09648501
37.19479600,4.96086100,57641.38147384
47.11645400,-29.53124900,57656.33989589
17.33690800,2.03430500,57697.17909294
53.12540800,-40.48799900,57725.23501507
18.06037500,2.93030500,57630.35765343
22.37962500,-5.99622200,57711.09890178
46.25432900,-26.37022100,57757.16568306
321.12352500,-40.50658200,57625.20760840
317.56357500,-42.51749900,57654.01230905
51.41945800,-18.17044400,57697.32602468
24.45550400,2.93019400,57630.34086696
39.65062500,-17.15563800,57724.16425386
22.33975400,-59.76319300,57696.25641061
43.60333300,4.95833300,57644.35394656
15.90137900,-59.76322000,57696.25356624
3.14371700,-1.93966700,57716.07342999
27.64258300,0.91047200,57614.39705940
8.46462100,2.93105500,57640.32692930
20.22632900,-22.42961000,57629.37015362
31.58503300,-12.08480500,57717.12321037
358.35511700,-0.92358300,57668.08194319
60.36775400,-27.30066600,57718.29374598
44.67283300,-30.34338800,57724.18762829
23.72259200,0.00491700,57689.24886505
23.13841700,-39.47433200,57699.27460755
22.73308300,-38.54408200,57722.21265753
71.00191700,-60.97952600,57657.33367835
66.63342100,-34.48747100,57728.31560464
78.31978300,-19.18519400,57775.07188627
4.93437100,-34.40199900,57699.21616808
46.15882500,-18.25491600,57802.03567257
359.65482100,-50.71747100,57684.08947152
351.41585800,-42.60236000,57663.12297013
29.62134200,-14.19744400,57662.35280429
9.53837900,-1.93919400,57698.19199201
46.21757900,-24.34241600,57753.17810935
17.52909200,-16.22597200,57663.20377395
26.52782900,-35.41733200,57690.28966214
80.52316700,-34.40072100,57721.29711059
59.94320800,-19.18497200,57695.32247083
35.61395800,-2.14333300,57643.37509083
53.12254600,-22.31313800,57801.05538964
61.95124600,-47.67411000,57802.09284397
28.66329200,-52.66263700,57658.25559679
0.45916700,3.94463900,57653.12945683
35.07675000,4.14702800,57695.18809989
46.11649600,-12.16758300,57745.17898663
50.44245000,-33.38794300,57716.24026428
333.06874600,-64.83558100,57659.00454359
27.10912500,1.10383300,57689.17512102
21.93437900,-29.33036000,57716.21407747
35.46532500,-10.25891600,57643.35337600
23.66550000,-28.31616600,57690.28000150
35.79720000,-41.58736000,57752.16866132
334.49644600,-58.74813700,57659.04645874
337.21024600,-58.83316500,57683.05244755
21.31096700,-24.34049900,57666.23026722
46.44675000,-25.27408300,57717.27498962
2.29978300,-39.47491500,57682.10082424
15.48707900,-39.67638800,57631.39174427
40.67128300,-36.43041600,57725.21717919
28.54216700,-3.04047200,57717.17864898
20.34283300,-24.45847100,57629.37152643
41.96412100,-10.25675000,57656.27773083
69.58504600,-24.25708300,57722.31942311
67.47907500,-57.73558200,57729.29729490
71.38612500,-23.24261000,57722.32353185
33.28587100,4.06447200,57720.12118705
79.08628300,-49.61827600,57730.24087520
324.82685800,-53.76155400,57662.08661781
44.45299600,-31.44241600,57746.18747323
9.54095800,0.08944400,57684.13490522
57.35690800,-40.48938800,57728.28118209
43.00225400,-17.15583300,57701.30746353
42.74795800,-22.31211000,57721.21362690
72.03987100,-41.58788800,57782.18660247
51.18007500,-17.24074900,57800.04692768
48.52162500,-14.31450000,57656.28603423
31.90078300,0.08927800,57688.17010042
344.40924200,-63.82219300,57660.11450194
25.57854200,-11.15438900,57664.28528552
55.78179200,-43.53213800,57726.28990939
19.55221700,-56.92285900,57630.37971147
14.86254200,-3.15719400,57632.38615377
15.17404600,-29.53202700,57630.30266547
10.63629200,-30.42838800,57745.10057472
40.39842100,4.95827800,57644.35120194
61.07416700,-39.55833200,57803.09782172
1.54312500,3.13311100,57742.04351147
334.16086700,-40.57344300,57681.05492405
28.52179600,-1.00791700,57720.14893743
48.70650000,-22.43002700,57657.25337313
22.73587500,-16.14172200,57684.15184174
66.41620400,-50.63274800,57752.15029175
90.72829600,-38.54386000,57803.18067169
54.42470800,-48.60441500,57726.27608046
324.09315000,-51.73269300,57662.07281296
74.64487500,-24.34180500,57784.17507416
13.26512900,-6.19988900,57631.27803658
14.86666700,4.95955500,57636.32251245
2.96041700,1.01905600,57716.08443722
67.37674600,-61.99388700,57657.32316925
35.08753300,-1.93925000,57695.16535563
43.07904200,3.13197200,57717.14174093
84.93420000,-41.58786000,57782.17072735
29.28737900,-17.24033300,57663.25221712
27.04291700,-26.28586000,57701.26758767
26.94825000,-2.02391700,57721.14306149
32.26312500,-37.53080400,57743.14996840
36.23912900,-27.50316600,57634.33164571
12.47728300,-35.50052700,57745.10609308
53.73440800,-57.73510900,57673.35390403
69.79200000,-20.19883300,57702.33884111
10.16765800,-44.63166500,57753.08202854
40.13632500,-44.54649900,57699.30354171
3.67104200,-44.54555400,57657.19250865
150.03225000,2.27525000,57801.13278898
1.54303300,3.13241700,57716.08306740
20.41300400,-60.98688700,57616.41709506
35.51025000,-26.37069400,57783.06894827
86.47441700,-35.41622100,57778.16609235
17.36229200,-6.08169400,57662.22271379
42.76062100,-20.28477700,57753.13667972
58.21987500,-21.29861000,57801.07054143
7.62512900,-47.67491500,57743.07600675
53.95699600,-32.45686000,57746.21641289
9.53833300,-54.77619300,57742.09084304
90.12032900,-45.64513800,57778.19790764
37.92212900,1.03647200,57696.19810824
358.61182500,-45.64602600,57682.09116498
31.50907500,-31.35980500,57742.17292861
30.09007500,-28.31530500,57687.17981414
35.61925400,1.91769400,57641.35841288
9.54670400,-32.57547100,57634.36681839
59.95340800,-16.14144400,57701.33356406
79.61495800,-57.73463700,57747.25228521
87.61812100,-44.63049900,57803.16556011
80.19478300,-26.28863800,57717.31440103
60.04924600,-29.32783200,57720.27229402
78.98990800,-47.58947100,57730.24634117
30.79595800,-34.48597100,57724.09861542
79.89670400,-23.32769400,57781.18979153
20.57728300,-6.08166600,57662.22686920
340.72835800,-62.80683100,57660.07240995
54.79262900,-37.44327700,57720.30298987
12.72970400,-24.25749900,57689.14029837
329.67103300,-63.82116500,57659.00177885
18.35937100,-57.81719300,57700.24188860
322.45036700,-53.67641500,57654.08449093
12.73487900,-1.93911100,57697.20304267
91.61911700,-42.60166500,57803.17243480
74.05708300,-44.63061000,57787.17373247
19.61625000,-45.56072100,57711.08432697
92.14329200,-35.50105400,57781.20450214
37.02512900,-48.68763700,57752.07964037
41.28712500,-3.03758300,57727.20527257
38.05137100,-40.57386000,57743.15966494
359.04132100,-52.74649800,57684.08809751
319.09040800,-61.79158100,57656.05176597
3.45879200,-56.80430400,57719.15816858
9.26754200,-22.22811000,57696.11174151
300.05332500,-54.77560900,57663.00440596
13.30150400,-22.43069400,57636.33823943
12.40670800,-47.67499900,57743.07319497
78.16350000,-24.34227700,57781.18842723
314.08470000,-44.74824900,57639.14820887
331.90669600,-41.58769300,57680.03371749
35.64792100,-27.29899900,57720.22183940
73.35691700,-59.76355400,57747.26856648
44.36882900,-45.64588800,57747.20547966
315.65735800,-63.90616500,57664.03338647
14.86092100,2.92930500,57632.37378132
93.35820000,-57.73463700,57781.09454924
38.24945800,-5.99752800,57695.19525357
54.15365800,-60.85985900,57703.33094136
53.25241700,-55.70666500,57729.27106251
90.08482500,-33.38630500,57723.31525418
78.51628300,-42.60236000,57782.19210687
92.14057500,-44.63105400,57782.16209060
13.65387100,-56.92288700,57630.39893179
1.06682900,-49.82288700,57633.20755011
55.57483300,-64.91949800,57745.20385733
27.75932900,-41.50333200,57662.29983597
19.88495800,-26.28591600,57696.14060733
26.94609200,4.06261100,57689.24474908
78.12082500,-20.28438800,57781.11647111
39.88624600,1.10325000,57717.13568991
46.88025000,-43.53052600,57700.32534383
24.44653300,-1.12750000,57630.33945314
335.99728300,1.10511100,57657.09719714
16.95079600,-40.48830400,57722.18996306
8.46792100,-1.12663900,57640.34205212
33.29728300,-2.02319400,57727.17918509
16.76428300,-22.43105500,57631.36937041
315.99215800,-47.59005400,57655.00636991
6.87204200,-0.11222200,57640.33932028
323.96540800,-57.73494300,57658.02219100
35.66695400,-24.34177700,57783.06071632
325.34477900,-0.11208300,57638.14832728
7.03525400,-28.39938800,57698.22504930
340.60198300,-1.00822200,57666.08884307
330.02649200,-41.50355400,57655.08730961
25.55158300,-3.96905500,57687.26947666
25.49462900,-9.12550000,57664.27706234
331.08165000,-59.76247000,57659.03682239
43.56478300,-15.32825000,57641.28872838
322.06899200,-61.87735900,57664.03895532
29.23607900,-30.42808200,57663.27330452
33.80325000,-11.27025000,57639.30856988
15.34171700,-35.61858200,57629.30165492
59.93220000,-39.67558200,57657.32515630
3.67858300,-0.11305600,57653.11845653
30.08158300,4.06252800,57689.23658239
67.45392100,-26.37074900,57783.15160607
39.04490800,-54.69060900,57688.34182467
