TRADEG,TDECDEG,MJD_OBS
333.92885800,-40.55661000,58043.18974049
69.93537100,-22.85397200,58080.33269706
309.16160800,-51.25916500,58014.00206270
34.78437100,-62.41724800,58053.31209856
44.92920000,-30.96858200,58057.33982996
43.01179600,-34.01180500,58057.34942243
7.19120800,-57.34588700,58020.22198709
23.71607900,-53.28752600,58047.20066665
354.47299600,-61.40449800,57987.25273150
6.59203300,-53.74327600,58046.23540786
9.00196700,-37.05688800,58054.24990278
66.76382900,-51.25836000,58134.17966436
5.86317100,-48.21586000,58022.20952795
351.49565800,-62.41894300,57987.24860612
67.34716700,-56.80516500,58054.35149039
71.29220800,-20.28380500,58072.34284465
358.35994600,-45.62852600,58046.10318200
320.25028300,0.48094400,58037.08586237
352.94332500,-57.34566500,58014.17573909
356.98032100,1.49330600,58067.03761860
18.77240800,-3.02269400,57997.35636630
31.78542100,-61.40283100,58053.31072359
12.14578300,-47.65761000,58098.07196704
7.55779600,-4.03497200,58023.25977067
45.93775400,-12.15122200,58110.17352905
14.66287500,-19.80983300,58047.13792115
314.82720000,-61.86008100,58040.02384060
37.49945800,-19.25263800,58111.16209647
24.89100000,-57.34569300,58096.05316238
38.78090800,-28.38205500,58083.25692094
7.65375000,-25.89777700,58020.33970091
38.20650000,-36.49755400,58153.06113660
22.18712900,-29.95327700,58046.30895895
326.97849200,-64.90294200,58045.06757879
75.06382500,-27.92580500,58157.15397081
307.03324600,-40.09822100,58037.05225074
33.05704600,-6.06455500,58080.12283724
329.94190400,-55.31641500,58021.09231073
56.16529600,-64.44735900,58076.26495899
71.70407900,-21.84002700,58140.12125651
31.53504200,1.03658300,58079.18376279
17.75282900,-1.55105600,57993.29586627
20.98300400,-5.60888900,57993.33152207
2.78184200,-0.99238900,58065.08188366
41.08682900,-7.07844400,58101.09195451
43.11900000,-27.92627700,58074.28260395
20.68378300,-16.20927700,58098.05846583
57.44517100,-50.24449800,58133.15115945
27.63579200,-11.69480500,58075.17778002
14.78233300,-27.92713800,58022.35730200
309.21849200,-59.37494300,58008.06177319
93.44449600,-55.79010900,58141.15117417
321.84649600,-0.53330600,58037.11121920
56.64437900,-17.78163800,58080.29272080
65.20115800,-35.02774900,58138.15690428
58.97707500,-40.55644300,58160.10952684
17.72507900,-47.20088700,58053.28273683
10.45520800,-52.27444300,58067.19733565
311.67286700,-64.90408100,58040.08628844
5.39821700,-44.61438800,58022.21365544
35.08542100,-56.78794300,58139.10021476
40.78225400,-23.30994400,58128.12700710
25.15862900,3.06286100,57992.37296426
44.90983300,-18.79772200,58056.32716904
28.32140800,-51.25963700,58052.30683205
31.95628300,-24.32474900,58130.09742570
32.82583300,-44.61383200,58102.19097068
53.39512500,-19.81049900,58080.28720055
34.90920000,-45.62819300,58155.06112081
12.26029600,-35.48316600,58081.19454756
16.62609200,-39.55974900,57996.31561203
4.93471700,-5.60752800,58023.25285652
340.22349200,-45.62855400,58015.12659052
52.37087900,-30.96913800,58083.29980931
65.47075400,-32.99816600,58128.13716375
72.08575400,-37.51330400,58168.07419009
39.69557900,2.03272200,57994.39083118
16.15712900,-2.56558300,57993.36489792
330.46486700,-53.28749800,58010.11716723
10.76458300,4.08033300,58023.26458955
39.93532500,-15.75222200,58097.17754848
56.93275400,-37.05549900,58099.26010702
351.28437100,-51.25855400,58008.18675931
358.40578300,-49.23111000,57991.24913696
74.27041700,-32.44066600,58167.11771486
334.62174200,1.49336100,58047.06073467
65.80750400,-44.15783200,58129.13974242
22.47887900,-62.87433100,58074.09363446
26.98254200,-10.12241600,58100.15657851
353.79752900,1.49330600,58066.04421536
4.54220800,4.06211100,57993.26561925
83.86045400,-33.45419300,58170.15026770
329.13762100,-48.21527600,58021.11904750
22.06291700,-45.17183200,58048.31687498
23.08275000,-18.79641600,58067.13959613
342.49423300,-44.61447100,58019.14671312
313.20703300,-49.68677600,58041.09192041
347.24698300,-46.64374900,58067.15568129
37.06828300,-46.64330400,58133.11735000
38.50357500,3.52197200,58073.17867457
24.12412500,-44.15736000,58048.30856953
13.03528300,-47.20080400,58053.27449624
356.32015400,-58.36010900,58014.17988154
359.91090000,-43.14333200,58046.09625611
310.93699600,-54.75869300,58021.03151212
67.26290800,-34.01252700,58128.13853966
21.97258300,-3.02272200,57997.35225361
47.76100400,-23.31030500,58130.07888584
32.53603300,-50.24388700,58048.33893824
72.58774600,-27.36844400,58164.12341898
54.80095400,-36.04280400,58077.31399096
44.91495000,-20.82497200,58080.26660722
73.24891700,-56.80497100,58079.33019109
341.20519600,-63.43335900,57987.23616741
316.94585800,-56.78802600,58043.06791613
311.90845400,-54.29983200,58037.09725997
83.62520800,-50.70077600,58169.14422122
84.31207500,-54.75822100,58157.04777597
328.93674200,-44.61424900,58073.09396988
357.96902900,-42.12880400,58046.09487772
333.17644600,-46.64299900,58021.12453572
351.01648300,-53.74438700,58041.24203184
332.61190400,0.00497200,57984.22282854
36.49362100,-41.11319300,58101.17050217
20.37424600,-4.03636100,57999.39629183
351.48340400,-40.09944300,58040.18294467
14.11033300,-26.35405500,58095.14691424
346.19482500,-51.25858200,58008.16743551
34.64295000,-7.07861100,58097.06322375
337.09399600,-56.78780400,58073.06633113
34.82090800,-38.07172100,58077.25883348
65.56654600,-25.33949900,58164.09972312
14.62317100,-42.60241500,58041.28507467
4.78846700,-39.08472100,58046.22411104
300.18707900,-52.73022100,58019.01094450
8.15674600,-3.57991700,58020.30611683
50.93592100,-57.34585900,58082.29687498
98.10945000,-60.86219300,58137.18407830
12.17087900,-45.62866500,58096.14385203
329.19024200,-53.74488700,58040.06276272
31.43687900,-11.15338900,57986.34985311
44.31175400,1.03747200,58021.32547482
348.31627500,-63.43230400,57983.25912385
79.05970400,-42.12866500,58141.19451284
48.87178300,-47.65708200,58134.14494115
48.28507500,-18.79561100,58097.19281369
16.25282900,-31.44230500,58021.22731195
327.81895400,1.02005600,58036.08683486
57.62145000,-52.74608200,58028.35201963
41.06762900,-9.10761100,58096.11472883
31.64728300,-5.06777800,58022.28911073
23.23190800,-51.25972100,58052.30828145
301.36003300,-52.27349800,58008.01988791
9.16450400,-3.02055500,58023.21933077
12.70137100,-52.66227600,57983.33667926
40.47320800,-31.42591600,58136.11462238
315.84665800,-50.70127600,58043.13691821
17.68220800,-26.35338800,58098.14422620
312.06532500,-56.32877600,58037.09452044
46.97224600,-38.06988800,58101.15905704
78.81349600,-50.71830400,58079.28456434
20.77287100,-18.23805500,58098.10196718
320.53665000,-57.81860900,58010.10612345
16.42141700,-35.50202700,57996.30589286
354.54440800,-47.65752600,58066.09975758
20.35846700,-2.00758300,57999.40043877
76.23778300,-53.76180400,58076.26687117
69.14212500,-52.27383200,58139.18409145
82.28158300,-53.28744300,58102.33297804
328.10074600,-52.27333200,58021.08673042
37.78279600,-11.13691600,58102.08503655
4.35583300,-4.03458300,58038.19273085
341.13115400,-55.31677600,58020.12916997
337.97395400,-44.61458200,58019.13984648
319.87165400,-42.12849900,58039.07047748
70.11204200,-18.79555500,58081.32826112
76.03450400,-47.65686000,58163.05448741
34.68895400,-34.48458200,58046.33782792
340.27835800,-61.87677600,57983.24485205
28.83009200,-6.62244400,58072.17574146
52.15558300,-48.21522100,58102.24031981
78.85907900,-36.04216600,58138.16267684
55.07337100,-38.06980400,58101.19633532
300.58132500,-56.33135900,58014.02552196
41.28787500,3.04911100,58014.32888978
39.68220000,-23.86766600,58081.26350239
68.36299600,-56.33158200,58139.17721825
36.04462500,-14.17958300,58101.08360580
25.00532900,-21.83941600,58080.21146346
4.96832900,-1.54994400,58014.23273735
61.46053300,-29.39749900,58159.10934496
66.15937500,-42.12780400,58099.22214376
85.50695800,-28.40036000,58084.32233614
345.29465800,-41.11299900,57982.23590375
28.41637500,-26.35380500,58134.07579917
64.62253300,-33.45524900,58164.10137392
19.21066700,-21.28147200,58098.10484750
22.60907900,-34.01374900,58054.30245162
40.89204200,-19.25263800,58111.17034805
46.54870400,-13.72300000,58047.29460333
60.18654200,-16.76683300,58127.17441652
320.99977500,-57.34533200,58021.09517333
29.44483300,-21.83944400,58098.05242404
15.16003300,-42.12849900,58048.28926017
37.99108300,-22.85386000,58080.24862017
338.16282100,-40.55641500,58073.08966408
35.31267100,-2.56391700,58055.27397552
46.56545800,-15.75452700,58056.34091383
17.75004200,0.47619400,57992.39948257
61.71949600,-23.31033300,58158.10752337
341.10495000,-51.25858200,58008.17164901
71.37354200,-55.31627600,58137.14872252
11.06732900,-34.01299900,58067.07276055
39.40516700,-29.95513800,58074.27423782
6.12475400,-46.18661000,58072.19208610
82.01829200,-21.83927700,58135.17155956
322.85452500,0.02205600,58046.04489370
39.46940800,-8.09355500,58095.12388234
78.67483300,-27.92572100,58157.16224221
49.79850000,-11.69383300,58055.34567605
312.68503300,-62.41858100,58037.01174126
41.04162100,-35.02816600,58054.33679640
43.23279200,-17.78338800,58056.33402711
