TRADEG,TDECDEG,MJD_OBS
317.90161700,-40.97924900,56925.03070900
51.19645400,-15.43122200,56986.28262904
40.18474600,-15.61638800,56959.32855325
88.54687500,-38.47686000,57018.32206496
9.39208300,-34.89241600,56977.21114929
323.31174200,-49.92355400,56916.05420799
312.66185800,-40.50583200,56924.01095437
320.88532500,-64.31213700,56946.03804813
31.16245400,-14.12936100,57006.17379282
38.60800400,-12.57383300,57006.19028896
92.19379600,-34.40208200,57069.18834694
44.36337100,-16.15838800,57011.19964943
58.01370000,-20.21619400,56982.31864805
311.68657500,-44.02236000,56912.05595367
335.74245000,-49.92355400,56924.11568787
88.19175000,-35.72088800,57066.12189805
82.42108300,-36.73530400,57068.13947980
337.15228300,-40.97922100,56887.22688552
59.86750400,-17.46022200,56924.35567193
338.33415000,-46.88005400,56920.14329164
17.29525400,-36.92127700,56950.24183001
330.43036700,-51.95252600,56915.12944015
65.79737900,-39.49133200,57013.25552016
59.44662100,-17.17288800,56981.25925407
0.63440800,-40.97924900,56950.22747344
47.91525000,-26.30319400,57014.14534893
41.25832500,-17.46033300,56982.27024455
321.06065800,-45.27372100,56916.05142835
0.41620400,1.62902800,56932.25511125
42.66087100,-19.20174900,57013.12727833
60.08595000,-15.61716600,56930.33677531
14.25928300,-6.30088900,56977.09420561
19.04779600,0.80058300,56932.28635197
341.74315400,-63.29772000,56950.09097703
71.94325400,-22.95544400,57011.27371081
85.76653300,-20.92641600,57018.26583911
18.01312500,-31.37561000,56988.20550607
6.24600000,-60.06838700,56977.07543709
24.77533300,-64.31224800,56978.23108391
28.49050400,-19.67511100,56927.26226853
341.25448300,1.62888900,56945.08100761
73.71124600,-21.94083300,57008.29329122
86.62549600,-38.76438800,57067.18370560
330.64648300,-41.99374900,56889.20723115
34.76442100,-3.98463900,57015.13844795
27.62371700,4.67233300,56951.26607157
33.03625400,-9.05694400,57007.16500977
87.45762100,-29.63402700,57015.32174036
5.49737900,-34.89238800,56977.11958114
353.06970000,-40.50586000,56975.16138870
16.12954600,-51.36063700,56946.20200993
319.72699600,-0.94141700,56943.06723434
56.87465800,-39.77880400,57036.18870200
47.96224600,-19.48899900,56963.30783598
338.19732100,-63.53441500,56958.06203662
8.90657900,-31.66302700,57004.08422119
326.82778300,-49.09449900,56927.08571032
28.57434200,-37.74986000,56891.35164484
306.33373300,-62.28333100,56899.09023520
54.49750400,-15.43116600,56963.34076641
44.32145800,-30.36102700,57046.11827636
44.58804200,-21.51802700,56920.32772660
70.48087500,-33.40444300,57017.27299562
20.66908300,3.84394400,56958.22972174
45.17175000,-20.68963800,57015.19639474
325.01262100,-50.65066500,56924.08903790
89.54795800,-25.76211000,57012.33355428
23.02809200,-12.57377700,56925.24741552
17.57967100,-14.41666600,56888.32906423
56.46316700,-20.50366600,56963.30160296
319.89720000,-45.57819300,56946.07210543
5.09341700,-28.33208200,56979.07229481
343.35540000,-59.78091500,56974.03174175
32.61832500,-34.41899900,57016.13340951
52.88578300,-16.44569400,56986.28961829
4.29937500,-64.85335900,56891.28744787
84.22800000,-36.44797100,57065.13580527
46.35637500,-39.49141500,57039.15140034
7.83482900,-27.79111000,57005.05336111
320.57157100,-44.02263800,56951.09616083
75.35983300,-25.76211000,57069.09656704
14.14650000,-23.25963800,57015.09815877
62.67770800,-23.54711000,57038.18588427
39.34962100,-24.56152700,57036.12419212
44.35937900,-18.18730500,57013.13281730
40.33762500,4.67255500,56931.35346370
76.51249600,-33.69197100,57067.12715025
11.05012500,-6.30086100,56933.29575836
353.40495000,-60.79544300,56926.16058775
320.19807100,-46.88011000,56920.09300304
90.32245400,-31.84897100,57011.27926795
338.50249600,-42.82222100,56887.23098388
345.56810800,-63.53455400,56946.10424197
31.95587900,-38.47669300,56950.28122896
316.90723300,-63.29783100,56946.02281066
36.77412100,-35.72105400,57016.18574137
43.53032900,-9.53030500,56951.34996090
10.92262500,-22.53258300,56925.21414557
335.99199200,-42.53469300,56889.21300713
315.59503300,-46.88013700,56924.06118676
71.39912900,-33.87786000,57064.06547498
29.09053300,-19.20174900,57013.12012297
55.73737500,-24.74755500,57016.23002026
92.57545400,-36.43108200,57069.19247264
59.70150000,-29.34658200,57069.05876775
49.13791700,-61.50563700,56978.29457693
321.53545400,-47.30308200,56946.11468336
76.29975000,-20.21624900,57011.27517365
24.28607900,-19.20163800,56930.24283268
336.96628300,-44.25930400,56898.19237630
36.38212500,3.11672200,56977.14234819
49.58100000,-23.25955500,56963.28653629
74.57803300,-21.23069400,56927.38054750
28.49179600,-16.63169400,57014.08382701
10.37995400,-35.43363800,56950.29010552
16.05778300,-21.51811000,57011.11408615
338.57452500,-40.79316500,56927.12531538
324.22453300,-45.57822100,56925.08205903
34.70032500,-36.73533200,57041.11066241
52.81120400,-14.41675000,56989.26445137
63.38357900,-29.34666600,57045.17291480
309.74020400,-61.26891500,56898.03387011
320.32432500,-47.60722100,56945.02634549
35.99104600,-22.53261000,57036.11722253
57.58129600,-38.95030400,56988.28009291
64.26328300,-21.23074900,56981.30899107
36.07291700,-15.14380500,57006.18617248
317.17299200,-41.80769300,56945.03717957
6.26484200,-37.46238800,56978.20274147
356.40302900,-40.97930400,56976.04377808
54.61675400,-31.84905500,57017.21142422
348.42802500,-60.49108200,56974.03322176
46.32895400,-24.56158300,57015.20473489
52.81125000,-14.41675000,56963.33360867
326.61748300,-64.54899800,56920.12361480
70.19650400,-22.71863800,57008.28359185
30.70495400,-5.47252800,57007.14974880
35.89157900,-60.25427600,56952.34565336
17.99250000,-1.41452800,56958.23989201
54.83220000,-21.51819400,57013.16448664
69.56079200,-18.18724900,56920.38469513
317.01110800,-62.52013700,56943.04975822
15.05674600,-27.79111000,57035.06849154
59.94982500,-30.64852700,57065.09413539
49.74429200,-22.53261000,57007.23586091
6.75707900,-43.24494300,56976.20795949
92.20670800,-41.60486000,57068.19669637
347.83936700,-41.99374900,56916.17109249
76.28854600,-24.27408300,57068.09520616
