TRADEG,TDECDEG,MJD_OBS
37.03425000,-50.93827600,56593.18858269
1.07312900,-46.87983200,56592.04081182
34.73057900,-6.01419400,56567.26393634
91.86058300,-39.18741500,56662.30904500
89.30083300,-42.53447100,56661.30283741
96.92332500,-59.23966500,56686.16702658
44.41474600,-62.09677600,56691.08174698
13.19945800,1.62825000,56576.21479877
308.67586700,-49.92349900,56595.04042624
23.02340800,-40.79349900,56593.08698220
315.66260800,-64.12669300,56595.03597783
61.17541700,-51.95338700,56596.12370511
1.47466700,-0.21450000,56618.06791021
70.13582900,-60.06894300,56658.24473713
26.02542100,0.37777800,56569.20127893
68.97792100,-47.60669300,56661.16030632
350.46099200,-50.65052600,56539.35148945
79.04107500,-52.96705400,56628.23527495
355.25920400,-53.39013700,56569.06018926
28.89984200,-57.75241500,56679.06828243
44.17082900,-50.65111000,56679.11237726
324.89020400,-50.34602600,56534.17710473
8.08900400,-40.50630400,56568.07330598
9.23650400,2.10211100,56594.04273950
10.92470800,-51.36147100,56655.10036582
40.16195800,-52.37563700,56594.34210881
16.41679600,-6.48805500,56545.29225387
312.58249600,-55.41824800,56537.02553674
0.10774600,-50.93769300,56592.03511135
14.65092100,-47.60811000,56567.35507040
59.14900400,-53.38938700,56654.23581374
332.09582900,-59.47697000,56537.11823716
6.26465800,0.79991700,56591.04839762
89.45074600,-52.96677600,56628.27555314
76.44487500,-51.95249800,56628.25130060
70.11587900,-48.08099900,56632.32696253
43.54132500,-5.47211100,56681.06680947
54.35120800,-45.03763800,56633.27708503
348.42682500,-53.69485900,56539.35724510
16.80932900,-44.56369300,56568.33742017
313.55470400,-49.92349900,56595.05597204
350.37811700,-49.92399900,56633.10387640
57.64220800,-38.17219300,56662.21033948
12.65634200,0.80055600,56544.24149487
51.21229600,-35.12877700,56662.19097175
84.26282900,-60.49180400,56655.29157471
27.64921700,-2.66563900,56547.39502025
41.39587500,-5.28655500,56592.19344419
64.58700000,-40.20183200,56635.28839458
22.73437500,-51.95283200,56593.10639192
71.65816700,-44.56430400,56638.31536283
53.73637500,-40.97886000,56681.05567117
72.25870400,-41.80758200,56656.27207175
342.51732100,-41.52102700,56559.06569724
1.56759200,-41.52061000,56567.13628927
24.95067100,-45.27355400,56657.13471461
71.57749600,-49.92358200,56628.24837399
32.56220800,-48.90963700,56605.25790259
89.74050000,-44.56349900,56661.22981174
349.31248300,-52.13849800,56632.09971595
308.41524200,-42.53611000,56568.01737311
57.70558300,-62.09780400,56685.10184077
2.84896700,0.07350000,56604.16340809
39.37104200,-58.46244300,56631.21447607
32.65832900,-58.03966500,56605.26514278
56.95820800,-50.93772100,56605.32236370
31.73067100,-49.63649900,56604.30101119
86.02920000,-61.08313700,56683.14166973
15.62716700,0.07341700,56619.12845848
46.63254200,-40.79366500,56656.19048196
308.55365800,-64.12705400,56595.02589638
0.98207900,-54.70969300,56567.11184083
30.18691700,-50.34686000,56607.27262172
63.88982900,-60.06805400,56692.13782247
347.57745000,-56.43338700,56543.20596784
308.63757100,-56.01072100,56536.01916767
325.39020000,-59.05419300,56536.13152517
72.10412900,-52.37605400,56631.30136000
22.32325400,-49.92347100,56593.10491280
34.76428300,-3.98450000,56594.17167464
323.68890000,-1.41447200,56538.17458164
59.41479200,-47.60772100,56638.28215678
6.35149600,-40.79316500,56592.07052902
98.25832500,-59.78088700,56661.31676155
340.71099200,-1.22944400,56575.11852320
324.76995000,-55.18172100,56538.10896904
351.66987100,1.08483300,56594.03947260
49.71107900,-54.70924800,56602.34141763
55.56049600,-51.12499800,56580.33160069
7.37109200,-48.62222100,56568.04439132
25.33462500,-57.21083200,56633.19720317
28.38065800,-41.99369300,56659.10489475
329.03732900,-54.70849800,56539.15643431
33.41974600,-0.21469400,56544.36853874
337.51565800,0.80047200,56540.10110601
15.38974600,-57.02469300,56592.21196058
1.88787100,-53.98116500,56592.03094089
54.09250400,-42.23111000,56662.12579857
41.04229600,-40.97891500,56633.24540441
56.47228300,-43.24530400,56654.15676870
11.05021700,-6.30108300,56544.31898525
2.49262500,-48.62227600,56577.28413383
12.43258300,0.07238900,56568.10317916
336.51015000,1.39219400,56543.14068173
20.78315800,-40.50605400,56568.34164899
75.14142100,-41.21622100,56683.12957889
350.84170400,1.62900000,56545.28664659
35.34712500,-59.05447000,56593.14435882
355.08715400,-0.21483300,56544.17790752
1.86754600,-46.05219300,56576.29099683
300.56807900,-58.22566500,56537.99669905
305.13307500,-63.11180400,56595.02447345
19.74354200,-48.90883200,56605.23752962
37.57845000,-43.54961000,56594.24609363
2.88991700,-52.37527600,56543.27670147
60.10999600,-52.67972100,56680.13784292
49.56782900,-40.20194300,56593.32447469
63.75991700,-44.25936000,56635.29283884
45.30987100,-45.03755400,56632.26222970
305.37199600,-61.08319300,56595.02298101
351.45898300,-43.54997100,56550.32495040
334.31974600,0.79980600,56540.07760413
76.16032500,-46.59277600,56684.19471970
93.64111700,-44.02258200,56639.29783293
58.12212100,-54.99633200,56605.32514767
52.66504600,-54.99669300,56605.29905393
2.01520400,-1.41477800,56563.08594371
30.33662900,-58.22633200,56632.21110466
353.38957500,-57.21155400,56632.10968108
26.99341700,-44.26002600,56680.07744063
359.16270000,-56.19655400,56565.28672566
63.05275400,-56.19658200,56681.11176649
41.23017100,-55.72291500,56680.09872096
350.88586700,0.37791700,56537.23672128
326.94795000,-54.99547100,56536.13433867
337.29012100,-1.95580600,56546.18616311
330.36436700,-55.18260900,56538.19434671
14.85375000,-4.69544400,56569.16554806
347.69724200,-1.65205600,56543.17098432
304.32694600,-52.37588700,56543.01161616
3.56854600,-42.53511000,56567.12922979
44.54517100,-41.80816500,56593.22305726
67.14658300,-51.12438700,56633.31906362
15.62803300,2.10158300,56604.16915766
318.96377900,-52.67958200,56539.10640147
41.59357500,-57.02558200,56593.19723941
62.61695800,-44.56436000,56638.29325938
58.39620000,-43.00816500,56659.22464884
3.65537900,-1.65122200,56537.27090983
74.07032900,-48.90908200,56630.24428934
56.25382500,-58.04008200,56627.29916291
28.70507900,-51.12394300,56659.11901225
332.60220000,-57.44791500,56543.20122356
24.68866700,-55.18230400,56632.20129968
87.58554200,-44.85111000,56629.30529676
69.81520400,-44.85166500,56629.32786122
316.46602500,-52.96688700,56536.04124000
51.19804600,-44.85158200,56656.19749286
9.28520800,-55.72363700,56568.05294686
5.95054600,-50.10977600,56576.30086010
308.66465800,-51.95222100,56536.02647976
66.69890800,-49.92316500,56628.28156193
71.95445800,-45.86622100,56628.30172504
42.55865800,-57.44760900,56662.14193282
90.90867100,-60.49052600,56657.27970789
94.03575000,-46.59316500,56660.30731886
38.55707900,-58.04016500,56593.14296573
43.00216700,1.81427800,56627.20620812
72.23612900,-51.12458200,56633.32877925
54.41029600,-29.82047100,56688.08170166
59.13645000,-40.79363800,56629.28298432
317.34586700,-0.63672200,56547.18553786
320.49065800,0.61450000,56538.11911610
68.29695000,-51.66533200,56661.19701970
18.96117100,-43.55005400,56568.33462980
346.58057900,-51.12388700,56538.25160684
327.69799600,-1.95577800,56546.17313432
358.50649600,-47.89497100,56591.19215076
97.17286700,-56.01033200,56655.33570298
89.24137500,-48.08022100,56659.30691327
94.60299200,-60.79591500,56688.16170429
68.81862100,-40.20208200,56635.28989903
87.12849200,-48.31702600,56654.31884716
332.71648300,1.81430600,56544.07286732
15.64591700,-6.01352800,56546.26319181
13.46550000,-53.15416500,56576.31363073
3.66354200,0.37763900,56569.15109081
6.22504600,-48.08127600,56633.14734292
11.64970400,-0.63663900,56547.34805237
80.60432900,-39.77838800,56695.18237547
308.43035800,-40.50613800,56568.01876758
4.00162500,-53.69419300,56567.11044537
21.64982900,-46.59333200,56568.34602731
346.40274200,-58.76641500,56546.19827867
30.18682500,-50.34605400,56662.11394682
306.05627900,-52.96663700,56536.01072998
27.20179600,-49.92383200,56593.13580200
35.01733300,-1.22863900,56544.39019868
29.21353300,2.40616700,56569.18796684
55.28716700,-42.82302600,56605.31090414
355.67824600,1.39225000,56537.24108240
35.51337100,-42.53516500,56594.19862414
340.59720000,-53.98197100,56540.08539400
12.57616700,-47.89458200,56630.09263424
17.46837100,-6.30088900,56544.35577893
38.19162100,-5.28636100,56592.18224380
46.67412100,-49.63672100,56603.33168226
352.51648300,-44.02366500,56650.06699628
341.46553300,-42.23077700,56537.17843049
344.49670400,0.37719400,56537.18840430
45.31917100,-38.17216600,56662.17571844
9.45087100,-5.28644400,56544.24606925
86.72503300,-46.28799900,56657.30654126
345.83412100,-42.23038800,56558.06475085
80.36287500,-55.41916500,56636.32819929
22.78279600,-0.40013900,56545.37970863
55.11166700,-49.09505400,56633.27132031
23.36175000,-54.70927600,56568.36741654
60.66942100,-58.22585900,56632.29622121
86.29612500,-50.65036000,56660.29774072
69.74587500,-58.76599800,56683.16452206
322.08752900,-0.40000000,56538.12956025
36.68632500,-52.96855400,56579.36535306
359.31649600,-47.06674900,56563.23852040
20.65087500,1.81391700,56544.31731773
335.77969600,-56.43310900,56543.20265669
344.73540000,-57.44816500,56564.06249989
306.29037100,-48.90908200,56595.02097067
52.02970400,-43.24449900,56662.12008313
328.47120000,1.62897200,56538.18029792
6.80795800,1.62819400,56563.10845359
76.06137100,-54.70966500,56567.37192457
11.19962900,-43.24486000,56657.06464339
34.12854200,-40.79322100,56593.16029195
85.68154600,-40.97969300,56687.15416004
318.32473300,-55.41885900,56543.05294740
16.44178300,0.37777800,56547.35387247
308.69490000,-45.86558200,56595.01943744
67.34566700,-61.50597000,56688.15499670
29.55904600,-48.62227600,56577.35764518
354.86357900,1.08791700,56546.25538208
332.19227900,-41.80763800,56596.07754062
72.18695800,-63.83835900,56684.16297368
347.10253300,0.79969400,56540.12150881
27.09562500,-6.30197200,56544.38300684
357.33574600,-59.05424800,56633.11805049
347.10024200,-1.22863900,56540.13119747
0.45808300,-1.65122200,56537.26938258
26.64567100,-47.89533200,56579.35814356
312.40062100,-53.38977600,56543.02317618
29.20982900,-46.05183200,56580.35952642
0.43820800,-52.13922100,56633.13079433
96.45220400,-48.90908200,56628.31866037
43.14450000,-43.24552600,56607.32395463
43.00392100,-0.21469400,56592.16659055
322.92211700,-0.94111100,56546.04044979
355.41174200,-41.52052700,56567.12185359
69.56657900,-46.88055400,56656.26107792
306.63469600,-58.22533200,56562.99674018
82.74545800,-40.79372100,56688.14308546
358.01545400,-40.79294300,56592.04498351
35.48807900,-55.72297100,56603.30981687
70.24141700,-40.79363800,56658.17178686
330.90382500,0.07341700,56546.17886722
12.43242100,-1.95625000,56594.04573470
2.04750000,-50.65094300,56568.02494155
309.51932900,-49.09599900,56565.00445834
37.20553300,1.39155600,56654.11636212
74.89537500,-49.33224900,56635.31719545
93.17053300,-59.05419300,56655.31958860
50.80040800,-40.79358200,56605.30670696
88.41520400,-48.90974900,56656.30435687
342.97027500,-53.69444300,56546.19335875
81.08278300,-61.50627600,56657.27535029
311.13703300,-55.72358200,56539.07366614
349.11802500,-41.80861000,56544.12402557
25.22637100,-51.66594300,56568.35166620
333.35170400,-54.16760900,56538.20956981
80.85007500,-46.59255400,56661.20295812
64.85945800,-50.10938700,56632.31444784
325.61757100,-52.37505400,56534.17143423
349.29090000,-0.63672200,56537.24401205
344.10769600,-52.13849800,56541.22924506
40.16191700,-52.37577600,56655.18123184
67.54237500,-49.09580400,56632.32000506
0.77237900,-45.57841500,56567.12034341
24.21424600,-47.60705400,56568.35873147
327.25711700,-51.66488700,56539.14917415
