TRADEG,TDECDEG,MJD_OBS
8.41790800,-6.72366600,57329.09678142
71.68170000,-29.04213800,57365.30548716
21.36095800,-51.85105400,57399.09196215
22.46608300,-37.46244300,57258.35098280
78.89012900,-20.92644400,57366.27042515
341.50978300,-44.74966500,57252.24998424
15.06965800,-24.98419400,57342.08332584
338.41502900,-61.99585900,57284.14892997
55.45757900,-37.64836000,57370.25946054
33.88675400,-32.57594300,57399.11162794
29.45315800,-60.25438700,57312.26781811
24.19246700,-28.80544400,57341.11707010
45.30358300,-36.14352700,57340.24749408
31.87562900,-15.85391600,57357.07425454
309.87195000,-60.98135900,57276.06670407
9.77458300,-23.96969400,57361.14498883
63.29325000,-46.77794300,57427.11988514
84.26120800,-45.76413800,57370.33552380
26.66187100,-64.12627600,57313.29862512
72.02425400,-21.41599900,57427.08451145
56.44532900,-30.54694400,57401.16912070
33.84487500,-27.60491600,57341.12737054
86.41017100,-29.04211000,57366.30063767
46.83140800,-10.78138900,57373.19254307
309.76411700,-56.92347100,57278.03916091
13.30987500,-28.02766600,57313.17616985
77.53774600,-56.92572100,57427.15117301
52.17328300,-22.43113800,57402.15949024
25.44658300,-47.79319300,57388.13434087
44.43695800,-60.06835900,57359.17399636
83.35228300,-37.64836000,57367.28058495
86.86674200,-33.59038800,57371.30119488
23.53753300,-30.36094400,57340.09416684
336.29923300,-52.86555400,57253.22182904
53.29537500,-36.14347100,57318.33676068
77.23228300,-32.57441600,57426.15884934
57.11062500,-19.38761100,57402.16641323
35.36887500,-30.64847100,57370.14645714
15.10115800,-29.81988800,57341.08348613
21.66649600,-17.35877700,57359.11741260
79.90029200,-49.82174900,57425.13818390
311.87810800,-45.76416500,57278.03217945
358.26774200,-50.83655400,57302.13247236
345.28348300,-61.99588700,57284.14603873
39.96028300,-54.89444300,57390.15573572
42.97591700,-49.82205400,57398.13443377
72.33504200,-50.83605400,57429.09875996
83.54578300,-39.67727700,57367.33184123
67.60865800,-33.09999900,57361.27308818
1.05117100,-38.17244300,57300.16315512
73.68215800,-24.46002700,57397.17287685
33.78904600,-10.78152700,57328.16034101
